Date,ID,Name,Daily Peak,0H,1H,10H,11H,12H,13H,14H,15H,16H,17H,18H,19H,2H,20H,21H,22H,23H,3H,4H,5H,6H,7H,8H,9H
6/12/2017,578080,PLAYERUNKNOWN'S BATTLEGROUNDS,280810,234997.0,241162.0,37379.0,42014.0,50387.0,52944.0,71693.0,83002.0,92786.0,92285.0,79173.0,72533.0,271758.0,79933.0,94215.0,104287.0,112371,201305.0,82687.0,76805.0,66284.0,65965.0,39212.0,39953.0
6/12/2017,20590,League of Legends,153145,119162.0,109593.0,50839.0,51015.0,55570.0,79177.0,92964.0,115236.0,129824.0,133161.0,133415.0,130227.0,91587.0,142408.0,138056.0,142147.0,153145,97457.0,89469.0,80095.0,70401.0,59753.0,54183.0,46250.0
6/12/2017,730,Counter-Strike: Global Offensive,102175,25452.0,26008.0,13949.0,16163.0,24134.0,34076.0,52298.0,53990.0,40565.0,92824.0,80243.0,77781.0,23789.0,59331.0,31661.0,32947.0,32741,15971.0,13619.0,14875.0,12514.0,14347.0,13084.0,13196.0
6/12/2017,570,Dota 2,60904,44487.0,36706.0,19078.0,20902.0,36211.0,42000.0,46284.0,50550.0,43344.0,40806.0,35864.0,35327.0,29479.0,45166.0,45255.0,40599.0,45392,28048.0,29615.0,29006.0,27716.0,26850.0,27990.0,17564.0
6/12/2017,4000,Garry's Mod,41518,84.0,133.0,12.0,15.0,17.0,25.0,24.0,34.0,54.0,61.0,51.0,30242.0,541.0,38902.0,41354.0,38270.0,38330,256.0,239.0,51.0,65.0,56.0,44.0,31.0
6/12/2017,657200,Hand Simulator,38506,13.0,32.0,75.0,50.0,138.0,10.0,1.0,6.0,107.0,314.0,14.0,121.0,67.0,10942.0,38.0,6.0,11,56.0,25.0,32.0,73.0,51.0,45.0,58.0
6/12/2017,365590,Tom Clancy's The Division,37110,2527.0,4685.0,3161.0,3306.0,3461.0,1053.0,1267.0,1444.0,1807.0,2408.0,2367.0,7896.0,4793.0,7174.0,2422.0,2230.0,2114,4957.0,4692.0,3998.0,908.0,3119.0,3085.0,3177.0
6/12/2017,271590,Grand Theft Auto V,30183,20141.0,11494.0,3176.0,4006.0,2193.0,4938.0,5485.0,7690.0,10082.0,12680.0,15542.0,18027.0,5844.0,20147.0,16023.0,18666.0,24911,9857.0,12282.0,8363.0,4847.0,4579.0,3824.0,3484.0
6/12/2017,238960,Path of Exile,18389,8215.0,8570.0,6507.0,7232.0,5206.0,5739.0,7069.0,7651.0,8800.0,8883.0,8940.0,8658.0,10734.0,8929.0,7953.0,9170.0,9007,9876.0,6427.0,5192.0,3130.0,3366.0,4639.0,5355.0
6/12/2017,476600,Call of Duty: WWII,18339,8624.0,8875.0,3459.0,3682.0,3243.0,3542.0,3383.0,3357.0,3116.0,3976.0,4200.0,4820.0,6140.0,4802.0,4461.0,4899.0,7491,7235.0,7762.0,8879.0,8948.0,7352.0,5118.0,4341.0
6/12/2017,453480,Shadowverse,14141,135.0,148.0,269.0,538.0,818.0,838.0,1084.0,1210.0,1101.0,848.0,422.0,765.0,193.0,372.0,228.0,243.0,269,332.0,308.0,397.0,305.0,440.0,369.0,378.0
6/12/2017,292030,The Witcher 3: Wild Hunt,14012,7715.0,7484.0,203.0,165.0,148.0,277.0,456.0,538.0,6088.0,9000.0,11767.0,13371.0,6772.0,13583.0,12499.0,12236.0,10153,5958.0,5159.0,4842.0,4960.0,4594.0,190.0,102.0
6/12/2017,252490,Rust,12864,2847.0,2669.0,455.0,329.0,464.0,742.0,1127.0,1576.0,1865.0,2046.0,2314.0,2395.0,2282.0,2333.0,2473.0,3297.0,4595,2735.0,2066.0,1565.0,1315.0,578.0,470.0,326.0
6/12/2017,381210,Dead by Daylight,12661,10352.0,3583.0,2688.0,3059.0,3295.0,4173.0,7345.0,12173.0,8662.0,8176.0,8312.0,8043.0,3671.0,9246.0,11021.0,10827.0,10932,4568.0,5289.0,5366.0,4422.0,2849.0,2126.0,2648.0
6/12/2017,378540,The Surge,11923,776.0,37.0,112.0,223.0,486.0,1247.0,2273.0,8595.0,10277.0,11340.0,11898.0,380.0,92.0,1824.0,1599.0,1454.0,1267,167.0,156.0,208.0,186.0,33.0,33.0,95.0
6/12/2017,310950,Street Fighter V,11005,2922.0,1034.0,836.0,854.0,836.0,933.0,1776.0,3103.0,3476.0,3468.0,3053.0,3857.0,1044.0,1929.0,1837.0,394.0,1083,966.0,1001.0,1177.0,1197.0,1148.0,1131.0,1321.0
6/12/2017,738060,Freddy Fazbear's Pizzeria Simulator,10838,133.0,240.0,269.0,89.0,85.0,45.0,83.0,19.0,81.0,133.0,166.0,37.0,371.0,34.0,144.0,509.0,48,546.0,506.0,209.0,553.0,709.0,452.0,268.0
6/12/2017,582160,Assassin's Creed Origins,10492,5405.0,455.0,2507.0,2053.0,498.0,956.0,638.0,493.0,513.0,679.0,1503.0,1320.0,277.0,1311.0,663.0,612.0,785,687.0,440.0,363.0,288.0,347.0,483.0,1645.0
6/12/2017,239350,Spelunky,10456,20.0,18.0,2.0,6.0,48.0,150.0,206.0,220.0,204.0,61.0,46.0,69.0,31.0,27.0,41.0,52.0,48,0.0,16.0,19.0,22.0,18.0,20.0,13.0
6/12/2017,571740,Golf It!,10021,24.0,22.0,2.0,5.0,6.0,5.0,0.0,137.0,84.0,1.0,1.0,3.0,17.0,5.0,36.0,20.0,19,13.0,8.0,11.0,15.0,21.0,3.0,12.0
6/12/2017,601430,The Evil Within 2,9600,101.0,107.0,264.0,429.0,69.0,35.0,35.0,4860.0,9379.0,433.0,306.0,319.0,171.0,485.0,590.0,510.0,472,287.0,459.0,510.0,633.0,468.0,290.0,272.0
6/12/2017,227300,Euro Truck Simulator 2,9382,1452.0,2617.0,759.0,826.0,1015.0,1052.0,1208.0,815.0,1402.0,2766.0,3225.0,4821.0,941.0,4259.0,4841.0,3461.0,1059,565.0,468.0,377.0,264.0,245.0,530.0,670.0
6/12/2017,368360,60 Seconds!,9173,0.0,0.0,3.0,3.0,0.0,0.0,117.0,7712.0,0.0,10.0,0.0,0.0,0.0,350.0,732.0,601.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
6/12/2017,504370,Battlerite,8911,2139.0,1735.0,1406.0,1178.0,1134.0,1445.0,1025.0,1303.0,1533.0,942.0,1075.0,1334.0,1581.0,1684.0,1726.0,408.0,491,1681.0,1614.0,1881.0,1141.0,1093.0,2261.0,1409.0
6/12/2017,433850,H1Z1,8704,1745.0,248.0,1110.0,1340.0,1319.0,1972.0,2047.0,3419.0,4310.0,7331.0,8455.0,3767.0,508.0,4518.0,3691.0,2391.0,4161,1942.0,1813.0,1364.0,1395.0,1597.0,1524.0,1223.0
